,is_won,player_health,is_chest_taken,algorithm,game_time
62,True,4,True,expectimax,6.144964218139648
63,True,28,True,expectimax,6.7302165031433105
64,False,-4,False,expectimax,3.572571039199829
65,True,38,True,expectimax,7.6116321086883545
66,True,41,True,expectimax,3.8427178859710693
67,True,23,True,expectimax,7.034712314605713
68,True,34,True,expectimax,5.44282865524292
69,True,30,True,expectimax,4.7677342891693115
70,True,85,True,expectimax,5.102875232696533
71,False,0,True,expectimax,4.895104885101318
72,True,81,True,expectimax,3.6286067962646484
73,True,31,True,expectimax,4.106605768203735
74,True,8,True,expectimax,7.138539791107178
75,False,-2,False,expectimax,7.247553825378418
76,True,20,True,expectimax,5.389938116073608
77,True,74,True,expectimax,5.7468321323394775
78,True,96,True,expectimax,3.909921646118164
79,False,0,True,expectimax,4.955756187438965
80,True,39,True,expectimax,5.931595325469971
81,False,-1,True,expectimax,6.234430313110352
82,True,40,True,expectimax,5.909963130950928
83,True,72,True,expectimax,8.537771463394165
84,True,60,True,expectimax,5.187588453292847
85,True,39,True,expectimax,5.855942726135254
86,False,0,True,expectimax,5.100812196731567
87,True,50,True,expectimax,5.2746617794036865
88,False,-4,False,expectimax,4.208361387252808
89,True,45,True,expectimax,4.5514726638793945
90,True,61,True,expectimax,3.976926803588867
91,True,59,True,expectimax,6.475976228713989
92,True,10,True,expectimax,5.328923940658569
93,True,41,True,expectimax,4.101726055145264
94,False,-4,True,expectimax,3.9715678691864014
95,False,-4,False,expectimax,3.475186347961426
96,True,30,True,expectimax,5.2911601066589355
97,True,4,True,expectimax,5.76233172416687
98,True,76,True,expectimax,3.8123979568481445
99,True,51,True,expectimax,4.070733070373535
100,True,35,True,expectimax,10.679875612258911
