0,Result,Health,Is_Chest_Taken,Algorithm,Time,Score
87,True,54,True,expectimax,5.78116583824158,160
88,False,-3,True,expectimax,8.05661678314209,220
89,False,-4,True,expectimax,3.84739899635315,200
90,False,-4,False,expectimax,4.03762888908386,145
91,False,-4,False,expectimax,4.1461980342865,145
92,True,86,True,expectimax,4.21699714660645,80
93,True,98,False,expectimax,1.58068490028381,10
94,True,24,True,expectimax,5.75748109817505,205
95,False,-4,False,expectimax,3.65004396438599,130
96,True,82,False,expectimax,3.04189896583557,45
97,True,43,True,expectimax,7.11211729049683,105
98,True,17,True,expectimax,8.00127387046814,215
99,True,74,True,expectimax,5.78403282165527,90
100,True,81,True,expectimax,3.9891529083252,55
0,True,23,True,expectimax,7.86157512664795,175
1,True,60,True,expectimax,4.56862711906433,125
2,True,23,True,expectimax,6.46962189674377,155
3,True,54,True,expectimax,5.58112025260925,150
4,True,10,True,expectimax,4.58853602409363,150
5,False,-4,True,expectimax,3.30914831161499,195
6,True,33,True,expectimax,7.04702138900757,245
7,True,3,True,expectimax,6.5926296710968,205
8,True,4,True,expectimax,6.42572069168091,175
9,False,0,True,expectimax,4.94073057174683,120
10,True,38,True,expectimax,7.29285168647766,85
11,False,-5,True,expectimax,4.7172839641571,190
12,False,0,True,expectimax,4.5242772102356,230
13,False,-4,False,expectimax,3.46942210197449,130
14,True,13,True,expectimax,7.31603074073792,175
15,True,37,True,expectimax,7.75342297554016,90
16,True,5,True,expectimax,6.26812696456909,165
17,True,81,True,expectimax,3.61345601081848,35
18,True,2,True,expectimax,8.2352340221405,180
19,True,40,True,expectimax,5.28368496894836,240
20,True,25,True,expectimax,4.80166864395142,160
21,False,-1,True,expectimax,5.51363778114319,215
22,True,45,True,expectimax,5.25214409828186,120
23,True,10,True,expectimax,4.92854309082031,205
24,False,-4,True,expectimax,4.05647373199463,190
25,True,4,True,expectimax,6.38182544708252,185
26,True,24,True,expectimax,5.94037079811096,200
27,True,59,True,expectimax,5.7008535861969,80
28,False,-4,False,expectimax,3.4150972366333,160
29,True,10,True,expectimax,5.26939344406128,210
30,True,25,True,expectimax,5.29422903060913,155
31,False,-3,True,expectimax,4.49193000793457,180
32,True,60,True,expectimax,4.64916372299194,105
33,True,42,True,expectimax,8.32983875274658,155
34,True,20,True,expectimax,4.60410475730896,180
35,True,44,True,expectimax,5.52107191085815,160
36,False,-4,True,expectimax,3.51303696632385,180
37,True,78,True,expectimax,6.65924835205078,110
38,True,2,True,expectimax,9.76202440261841,110
39,True,61,True,expectimax,4.19356322288513,115
40,True,1,True,expectimax,9.27973294258118,165
41,True,9,True,expectimax,11.5580933094025,225
42,True,21,True,expectimax,4.2039954662323,125
43,True,19,True,expectimax,6.10786080360413,195
44,True,98,False,expectimax,2.15572595596313,35
45,False,0,False,expectimax,4.68679094314575,110
46,True,6,True,expectimax,9.27965807914734,180
47,True,41,True,expectimax,3.81828641891479,110
48,True,45,True,expectimax,4.45550537109375,205
49,True,33,True,expectimax,7.35995578765869,170
50,True,29,True,expectimax,5.68253469467163,130
51,False,-1,True,expectimax,6.06097054481506,200
52,True,61,True,expectimax,3.36413836479187,75
53,True,26,True,expectimax,4.31126403808594,145
54,True,28,True,expectimax,7.02117514610291,200
55,True,9,True,expectimax,5.79285669326782,240
56,False,-1,True,expectimax,10.8808765411377,170
57,True,55,True,expectimax,5.10131096839905,135
58,False,-4,False,expectimax,3.8130795955658,145
59,True,30,True,expectimax,5.0069842338562,150
60,True,45,True,expectimax,5.52288961410522,110
61,True,35,True,expectimax,4.945965051651,220
62,True,39,True,expectimax,7.21364712715149,90
63,False,-1,True,expectimax,6.4357693195343,190
64,True,21,True,expectimax,3.86456418037415,130
65,True,29,True,expectimax,7.04659152030945,125
66,True,66,True,expectimax,3.63432240486145,100
67,False,-5,False,expectimax,4.58533334732056,100
68,False,-4,True,expectimax,3.93675565719604,190
69,True,40,True,expectimax,4.67749643325806,120
70,True,26,True,expectimax,3.83971166610718,145
71,False,-1,True,expectimax,6.02822518348694,195
72,True,81,True,expectimax,4.35331416130066,40
73,False,-3,False,expectimax,3.41621518135071,115
74,True,51,True,expectimax,4.3265962600708,105
75,True,21,True,expectimax,4.42464280128479,150
76,False,-1,True,expectimax,6.01091361045837,260
77,False,-9,False,expectimax,3.97345185279846,135
78,False,-3,False,expectimax,3.70633769035339,165
79,True,16,True,expectimax,3.94687724113464,165
80,True,70,True,expectimax,5.2217481136322,85
81,True,20,True,expectimax,5.17825198173523,140
82,True,31,True,expectimax,8.83301663398743,170
83,True,34,True,expectimax,5.77992486953735,140
84,True,29,True,expectimax,5.52666831016541,210
85,True,2,True,expectimax,8.81643748283386,145
86,True,44,True,expectimax,5.79684734344482,125
87,True,59,True,expectimax,6.61564445495606,65
88,True,71,True,expectimax,3.75621795654297,35
89,False,-4,False,expectimax,3.81972599029541,155
90,True,44,True,expectimax,6.3273458480835,165
91,True,48,True,expectimax,6.82540702819824,180
92,False,-3,False,expectimax,3.36890149116516,125
93,False,-1,True,expectimax,5.72861766815186,180
94,False,-4,False,expectimax,3.43355512619019,135
95,True,36,True,expectimax,8.61172676086426,195
96,True,22,True,expectimax,8.00481152534485,185
97,False,-1,True,expectimax,6.05981683731079,190
98,False,-4,True,expectimax,4.02443718910217,190
99,True,33,True,expectimax,7.02745270729065,155
100,True,85,True,expectimax,4.99504351615906,65
